0,1,2
3989,296.0,1689.0
3357,241.0,1144.0
109,3.0,14.0
2411,179.0,1005.0
70,1.0,2.0
4047,296.0,1581.0
2371,166.0,979.0
296,25.0,127.0
205,12.0,9.0
2121,140.0,410.0
2777,197.0,1007.0
3300,272.0,1230.0
3322,193.0,1176.0
276,26.0,139.0
2267,145.0,746.0
1913,125.0,399.0
348,28.0,142.0
294,23.0,185.0
604,45.0,352.0
661,52.0,52.0
110,4.0,7.0
1678,101.0,327.0
94,5.0,6.0
333,28.0,163.0
63,1.0,9.0
279,13.0,11.0
511,40.0,349.0
193,13.0,83.0
638,52.0,274.0
485,46.0,313.0
73,7.0,6.0
158,6.0,8.0
61,6.0,8.0
263,20.0,95.0
65,1.0,3.0
129,3.0,16.0
225,23.0,131.0
286,18.0,118.0
103,8.0,7.0
63,5.0,7.0
1327,101.0,208.0
152,6.0,7.0
111,1.0,10.0
270,17.0,135.0
82,,4.0
58,3.0,7.0
196,24.0,131.0
465,48.0,152.0
168,15.0,90.0
87,9.0,3.0
56,2.0,4.0
170,15.0,84.0
259,22.0,155.0
72,5.0,3.0
215,10.0,100.0
716,52.0,327.0
113,11.0,3.0
204,15.0,131.0
258,20.0,147.0
336,27.0,33.0
88,9.0,2.0
97,1.0,9.0
106,2.0,9.0
108,2.0,12.0
348,16.0,134.0
92,7.0,2.0
254,28.0,118.0
298,16.0,100.0
115,1.0,11.0
136,10.0,81.0
311,23.0,165.0
545,45.0,333.0
191,12.0,86.0
329,17.0,22.0
93,3.0,6.0
154,,12.0
194,17.0,88.0
200,16.0,128.0
275,10.0,18.0
161,8.0,14.0
174,13.0,93.0
268,26.0,143.0
103,13.0,7.0
65,5.0,8.0
147,9.0,93.0
108,4.0,8.0
175,12.0,81.0
314,20.0,177.0
235,8.0,24.0
226,19.0,89.0
382,30.0,119.0
270,30.0,139.0
103,4.0,3.0
794,69.0,467.0
257,27.0,120.0
77,9.0,4.0
263,17.0,139.0
309,15.0,26.0
87,9.0,5.0
105,5.0,7.0
271,22.0,124.0
144,1.0,9.0
76,5.0,7.0
159,11.0,109.0
292,24.0,144.0
45,,3.0
174,11.0,87.0
100,13.0,2.0
99,4.0,8.0
208,12.0,119.0
56,1.0,1.0
77,7.0,1.0
59,,3.0
117,14.0,14.0
123,9.0,32.0
108,5.0,12.0
101,20.0,13.0
113,10.0,19.0
111,11.0,13.0
123,10.0,8.0
126,16.0,8.0
95,12.0,11.0
107,21.0,7.0
106,17.0,7.0
133,16.0,7.0
123,8.0,16.0
102,18.0,9.0
117,8.0,32.0
311,4.0,18.0
288,8.0,17.0
163,5.0,18.0
291,4.0,20.0
313,6.0,28.0
353,5.0,19.0
136,7.0,7.0
156,6.0,6.0
337,5.0,16.0
341,8.0,31.0
145,5.0,12.0
268,5.0,14.0
147,6.0,6.0
166,7.0,8.0
255,5.0,18.0
665,31.0,59.0
617,28.0,58.0
373,35.0,57.0
340,20.0,64.0
554,36.0,16.0
362,29.0,67.0
595,39.0,81.0
668,36.0,65.0
92,10.0,5.0
588,32.0,53.0
66,10.0,12.0
538,22.0,72.0
397,24.0,68.0
398,39.0,65.0
559,42.0,14.0
393,34.0,63.0
295,18.0,49.0
560,32.0,38.0
467,14.0,35.0
83,11.0,5.0
78,6.0,5.0
337,24.0,58.0
119,11.0,4.0
121,9.0,5.0
113,11.0,8.0
146,9.0,5.0
135,13.0,5.0
111,9.0,6.0
110,16.0,7.0
127,9.0,17.0
127,10.0,5.0
102,9.0,6.0
94,8.0,12.0
104,12.0,6.0
102,11.0,17.0
124,10.0,16.0
130,10.0,5.0
130,16.0,8.0
114,10.0,34.0
151,30.0,7.0
153,14.0,15.0
147,16.0,15.0
134,16.0,38.0
134,6.0,18.0
160,20.0,11.0
154,18.0,5.0
122,14.0,6.0
154,23.0,9.0
138,17.0,7.0
133,14.0,37.0
125,8.0,11.0
267,26.0,14.0
349,13.0,37.0
659,48.0,58.0
349,20.0,32.0
352,20.0,29.0
353,19.0,35.0
740,44.0,80.0
611,57.0,45.0
376,29.0,47.0
70,9.0,
666,50.0,59.0
83,6.0,13.0
333,8.0,34.0
87,5.0,16.0
85,7.0,15.0
180,12.0,11.0
205,19.0,8.0
178,14.0,14.0
165,11.0,7.0
185,5.0,15.0
195,22.0,8.0
85,8.0,4.0
142,5.0,68.0
141,5.0,65.0
127,6.0,66.0
125,9.0,72.0
122,10.0,71.0
115,7.0,76.0
98,9.0,4.0
116,7.0,1.0
127,5.0,62.0
121,6.0,63.0
140,8.0,64.0
128,9.0,75.0
121,7.0,81.0
125,13.0,72.0
191,11.0,11.0
166,7.0,52.0
277,12.0,22.0
144,8.0,4.0
170,5.0,3.0
285,4.0,33.0
173,6.0,21.0
193,11.0,6.0
127,3.0,1.0
258,14.0,24.0
186,9.0,10.0
