0,1,2
373,37.0,81.0
380,29.0,85.0
404,33.0,81.0
388,47.0,73.0
362,45.0,63.0
7193,626.0,1257.0
7996,583.0,1039.0
7299,517.0,1124.0
6680,587.0,1117.0
8260,622.0,1040.0
3393,294.0,520.0
1124,92.0,136.0
1101,89.0,139.0
1172,106.0,182.0
946,75.0,148.0
1151,90.0,139.0
1167,104.0,180.0
607,29.0,65.0
691,42.0,75.0
616,35.0,76.0
581,18.0,65.0
655,44.0,77.0
614,29.0,62.0
240,52.0,35.0
266,52.0,24.0
237,51.0,32.0
270,38.0,27.0
254,40.0,34.0
327,34.0,103.0
243,49.0,114.0
257,39.0,93.0
381,47.0,101.0
221,45.0,118.0
265,41.0,124.0
316,21.0,51.0
335,37.0,53.0
301,31.0,33.0
335,47.0,63.0
321,30.0,43.0
336,29.0,52.0
607,52.0,94.0
646,43.0,71.0
620,44.0,88.0
623,39.0,110.0
663,46.0,68.0
642,40.0,65.0
241,37.0,35.0
257,34.0,46.0
248,52.0,49.0
241,32.0,43.0
253,53.0,42.0
209,39.0,33.0
273,43.0,34.0
291,61.0,27.0
208,27.0,42.0
251,35.0,27.0
202,34.0,37.0
325,37.0,27.0
257,32.0,38.0
330,30.0,30.0
252,36.0,43.0
290,39.0,29.0
254,33.0,34.0
281,58.0,39.0
516,39.0,65.0
535,46.0,66.0
503,71.0,61.0
537,58.0,52.0
534,59.0,68.0
720,71.0,110.0
731,68.0,97.0
680,44.0,85.0
727,61.0,103.0
611,40.0,78.0
629,46.0,81.0
342,23.0,85.0
280,47.0,78.0
284,43.0,82.0
244,25.0,31.0
246,25.0,30.0
222,24.0,42.0
225,25.0,37.0
236,20.0,40.0
298,26.0,37.0
379,32.0,45.0
273,37.0,41.0
361,34.0,48.0
260,38.0,37.0
268,37.0,42.0
361,24.0,132.0
351,34.0,102.0
322,30.0,85.0
321,32.0,51.0
314,28.0,53.0
347,25.0,68.0
411,30.0,68.0
416,21.0,49.0
428,39.0,73.0
417,38.0,69.0
352,28.0,45.0
375,30.0,41.0
249,19.0,52.0
321,23.0,46.0
259,29.0,47.0
291,28.0,54.0
273,25.0,65.0
567,51.0,103.0
577,48.0,106.0
657,38.0,91.0
595,47.0,103.0
578,47.0,88.0
606,35.0,97.0
293,29.0,38.0
336,50.0,63.0
315,38.0,56.0
347,46.0,66.0
262,32.0,28.0
293,30.0,39.0
458,48.0,118.0
431,38.0,95.0
411,40.0,73.0
413,47.0,80.0
448,51.0,122.0
445,51.0,126.0
614,59.0,96.0
621,52.0,105.0
492,44.0,71.0
624,60.0,94.0
441,45.0,62.0
436,31.0,65.0
699,38.0,84.0
746,43.0,72.0
654,37.0,95.0
328,15.0,61.0
734,47.0,85.0
338,20.0,63.0
65,18.0,65.0
73,5.0,49.0
67,15.0,62.0
65,10.0,53.0
242,33.0,69.0
67,10.0,51.0
297,53.0,58.0
293,53.0,45.0
294,50.0,41.0
319,53.0,52.0
293,46.0,53.0
502,41.0,102.0
439,36.0,112.0
447,52.0,117.0
444,42.0,128.0
519,45.0,109.0
445,59.0,115.0
259,52.0,106.0
376,48.0,101.0
294,47.0,105.0
343,55.0,110.0
386,54.0,111.0
528,51.0,210.0
567,34.0,159.0
533,37.0,130.0
557,36.0,146.0
555,49.0,197.0
528,50.0,220.0
438,39.0,108.0
436,40.0,87.0
373,27.0,71.0
511,42.0,114.0
414,44.0,79.0
414,43.0,84.0
322,47.0,74.0
337,35.0,73.0
311,52.0,90.0
303,52.0,83.0
328,33.0,79.0
325,44.0,89.0
251,31.0,68.0
300,23.0,62.0
274,13.0,56.0
270,26.0,61.0
428,50.0,75.0
390,40.0,63.0
460,53.0,89.0
437,44.0,70.0
457,60.0,84.0
377,39.0,55.0
277,53.0,75.0
282,54.0,79.0
294,31.0,50.0
296,43.0,63.0
299,38.0,53.0
331,39.0,119.0
372,52.0,107.0
394,54.0,175.0
392,61.0,97.0
337,46.0,130.0
359,46.0,148.0
289,14.0,33.0
301,13.0,34.0
276,13.0,38.0
285,14.0,36.0
312,21.0,32.0
378,42.0,51.0
329,32.0,64.0
315,37.0,58.0
355,29.0,54.0
389,38.0,52.0
320,29.0,59.0
308,37.0,63.0
361,36.0,49.0
287,53.0,66.0
289,46.0,57.0
352,34.0,45.0
348,34.0,53.0
3676,341.0,639.0
3364,319.0,488.0
1022,83.0,308.0
5809,461.0,868.0
2826,276.0,375.0
6995,509.0,1183.0
243,85.0,77.0
248,85.0,79.0
309,99.0,80.0
316,68.0,67.0
297,69.0,66.0
313,91.0,67.0
341,31.0,80.0
387,27.0,73.0
385,30.0,78.0
351,30.0,96.0
310,43.0,80.0
379,27.0,69.0
350,34.0,58.0
345,39.0,61.0
325,25.0,40.0
325,27.0,41.0
340,31.0,60.0
338,30.0,38.0
182,19.0,25.0
183,20.0,21.0
199,15.0,30.0
175,22.0,32.0
170,21.0,36.0
174,24.0,33.0
744,55.0,100.0
657,44.0,94.0
738,63.0,107.0
677,45.0,101.0
661,47.0,85.0
684,50.0,112.0
200,27.0,37.0
242,23.0,28.0
228,23.0,29.0
194,26.0,39.0
214,20.0,36.0
407,27.0,78.0
420,29.0,93.0
342,29.0,114.0
416,32.0,75.0
384,28.0,111.0
500,35.0,46.0
392,15.0,73.0
371,22.0,57.0
375,24.0,59.0
553,28.0,53.0
530,19.0,50.0
795,48.0,134.0
890,68.0,101.0
842,55.0,135.0
900,69.0,118.0
876,60.0,97.0
846,40.0,102.0
373,42.0,185.0
311,28.0,124.0
383,38.0,137.0
387,51.0,177.0
387,43.0,176.0
386,35.0,140.0
291,19.0,38.0
284,21.0,60.0
286,26.0,53.0
314,23.0,51.0
289,18.0,40.0
271,17.0,50.0
332,65.0,47.0
352,63.0,25.0
328,66.0,29.0
329,74.0,33.0
354,63.0,29.0
332,71.0,33.0
306,19.0,70.0
378,27.0,72.0
319,30.0,63.0
390,25.0,61.0
370,17.0,67.0
290,42.0,59.0
291,32.0,68.0
294,35.0,65.0
280,47.0,64.0
284,37.0,69.0
302,44.0,64.0
325,44.0,69.0
323,48.0,51.0
321,46.0,49.0
325,41.0,68.0
230,50.0,28.0
221,35.0,59.0
223,30.0,47.0
252,32.0,50.0
214,38.0,63.0
195,39.0,66.0
237,29.0,49.0
354,20.0,36.0
363,33.0,35.0
364,29.0,26.0
366,27.0,23.0
371,37.0,40.0
357,30.0,54.0
415,46.0,120.0
567,44.0,112.0
565,49.0,129.0
435,42.0,116.0
557,48.0,125.0
544,41.0,113.0
351,35.0,102.0
348,36.0,103.0
477,32.0,93.0
487,56.0,114.0
533,34.0,100.0
493,35.0,95.0
470,39.0,102.0
511,38.0,131.0
258,37.0,63.0
294,38.0,43.0
274,34.0,49.0
300,50.0,98.0
234,46.0,63.0
239,44.0,58.0
1158,42.0,280.0
891,38.0,209.0
1077,47.0,268.0
1105,42.0,285.0
946,35.0,206.0
861,35.0,201.0
322,29.0,46.0
329,35.0,73.0
310,32.0,83.0
328,33.0,51.0
328,32.0,51.0
329,36.0,74.0
275,55.0,59.0
294,35.0,61.0
273,46.0,51.0
286,42.0,57.0
282,42.0,50.0
219,39.0,91.0
256,35.0,98.0
352,33.0,143.0
353,44.0,135.0
382,38.0,142.0
264,35.0,104.0
278,13.0,28.0
267,15.0,26.0
268,18.0,31.0
254,18.0,31.0
246,18.0,40.0
257,12.0,29.0
259,33.0,49.0
274,28.0,42.0
286,25.0,47.0
281,24.0,49.0
278,30.0,48.0
255,35.0,47.0
523,77.0,96.0
596,77.0,79.0
560,72.0,89.0
